algorithm,dataset,threshold,mu,total_twu,attempt,runtime_ms,memory_kb,managed_memory_kb,total_rss_kb,closed_hui_count,max_hui_count,candidates_count,max_hui_checks
MaxCHuimBitmax,mushroom,0.005,27091,5418324,3,3771.00,72848,60934,134732,150353,11457,164226,150353
MaxCHuim,mushroom,0.003,16254,5418324,1,38649.56,91164,84388,152816,262742,20096,255209,262742
MaxCHuim,mushroom,0.003,16254,5418324,2,38565.57,96580,84096,157788,262742,20096,255209,262742
MaxCHuim,mushroom,0.003,16254,5418324,3,39013.29,93928,79720,155072,262742,20096,255209,262742
MaxCHuimBitmax,mushroom,0.003,16254,5418324,1,5461.97,98628,74641,159376,262742,20096,255209,262742
MaxCHuimBitmax,mushroom,0.003,16254,5418324,2,5479.60,96684,86335,157652,262742,20096,255209,262742
MaxCHuimBitmax,mushroom,0.003,16254,5418324,3,5549.27,104112,69841,164132,262742,20096,255209,262742
MaxCHuim,mushroom,0.001,5418,5418324,1,272418.49,167048,166555,228488,655181,45760,511375,655181
MaxCHuim,mushroom,0.001,5418,5418324,2,272537.23,173652,160451,235180,655181,45760,511375,655181
MaxCHuim,mushroom,0.001,5418,5418324,3,274014.89,179152,179571,240404,655181,45760,511375,655181
MaxCHuimBitmax,mushroom,0.001,5418,5418324,1,13235.92,175140,154113,236136,655181,45760,511375,655181
MaxCHuimBitmax,mushroom,0.001,5418,5418324,2,13236.42,170524,147000,232024,655181,45760,511375,655181
MaxCHuimBitmax,mushroom,0.001,5418,5418324,3,13295.11,173284,155722,234464,655181,45760,511375,655181
MaxCHuim,retail,0.00017,4342,25545604,1,33254.80,303000,317975,426116,12192,3138,17499,12192
MaxCHuim,retail,0.00017,4342,25545604,2,33394.82,341436,315962,440656,12192,3138,17499,12192
MaxCHuim,retail,0.00017,4342,25545604,3,33617.20,310612,313591,409124,12192,3138,17499,12192
MaxCHuimBitmax,retail,0.00017,4342,25545604,1,37076.57,444456,355227,543692,12192,3138,17499,12192
MaxCHuimBitmax,retail,0.00017,4342,25545604,2,37203.34,426960,365771,538908,12192,3138,17499,12192
MaxCHuimBitmax,retail,0.00017,4342,25545604,3,37272.98,445964,352134,546620,12192,3138,17499,12192
MaxCHuim,retail,0.00015,3831,25545604,1,35504.40,313472,319259,413036,14812,3791,22414,14812
MaxCHuim,retail,0.00015,3831,25545604,2,35294.25,317400,316701,440492,14812,3791,22414,14812
MaxCHuim,retail,0.00015,3831,25545604,3,41367.00,302532,315308,425432,14812,3791,22414,14812
MaxCHuimBitmax,retail,0.00015,3831,25545604,1,40905.12,385784,350053,484456,14812,3791,22414,14812
MaxCHuimBitmax,retail,0.00015,3831,25545604,2,40574.17,421304,439518,548228,14812,3791,22414,14812
MaxCHuimBitmax,retail,0.00015,3831,25545604,3,40662.86,393584,339577,492404,14812,3791,22414,14812
MaxCHuim,retail,0.00013,3320,25545604,1,37818.26,330140,315321,429024,18494,4699,30498,18494
MaxCHuim,retail,0.00013,3320,25545604,2,37425.49,319824,314518,412400,18494,4699,30498,18494
MaxCHuim,retail,0.00013,3320,25545604,3,37562.51,319784,319740,416824,18494,4699,30498,18494
MaxCHuimBitmax,retail,0.00013,3320,25545604,1,46257.93,462056,414317,558764,18494,4699,30498,18494
MaxCHuimBitmax,retail,0.00013,3320,25545604,2,46097.97,466852,394774,589996,18494,4699,30498,18494
MaxCHuimBitmax,retail,0.00013,3320,25545604,3,46450.14,465456,402284,564764,18494,4699,30498,18494
MaxCHuim,retail,0.0001,2554,25545604,1,43928.18,327976,321188,440096,28147,7110,57460,28147
MaxCHuim,retail,0.0001,2554,25545604,2,43431.13,324888,321700,418876,28147,7110,57460,28147
MaxCHuim,retail,0.0001,2554,25545604,3,43894.09,313404,323252,436472,28147,7110,57460,28147
MaxCHuimBitmax,retail,0.0001,2554,25545604,1,60042.90,416940,400920,517052,28147,7110,57460,28147
MaxCHuimBitmax,retail,0.0001,2554,25545604,2,59319.32,423852,397303,522652,28147,7110,57460,28147
MaxCHuimBitmax,retail,0.0001,2554,25545604,3,59330.52,418716,393928,519140,28147,7110,57460,28147
MaxCHuim,BMS-POS,0.09,8493419,94371330,1,1665.22,175520,235200,474468,1,1,5,1
MaxCHuim,BMS-POS,0.09,8493419,94371330,2,1635.95,185480,235157,472088,1,1,5,1
MaxCHuim,BMS-POS,0.09,8493419,94371330,3,1639.97,182084,235235,472432,1,1,5,1
MaxCHuimBitmax,BMS-POS,0.09,8493419,94371330,1,1636.63,159004,234816,474848,1,1,5,1
MaxCHuimBitmax,BMS-POS,0.09,8493419,94371330,2,1677.95,212384,234237,476964,1,1,5,1
MaxCHuimBitmax,BMS-POS,0.09,8493419,94371330,3,1667.91,174660,235544,472036,1,1,5,1
MaxCHuim,BMS-POS,0.07,6605993,94371330,1,1836.31,212248,233236,467584,3,2,8,3
MaxCHuim,BMS-POS,0.07,6605993,94371330,2,1816.44,173888,279964,488204,3,2,8,3
MaxCHuim,BMS-POS,0.07,6605993,94371330,3,1910.15,183260,233029,470436,3,2,8,3
MaxCHuimBitmax,BMS-POS,0.07,6605993,94371330,1,1913.20,160188,232923,471276,3,2,8,3
MaxCHuimBitmax,BMS-POS,0.07,6605993,94371330,2,1893.71,198212,279839,487752,3,2,8,3
MaxCHuimBitmax,BMS-POS,0.07,6605993,94371330,3,1910.21,183780,232912,470268,3,2,8,3
MaxCHuim,BMS-POS,0.05,4718566,94371330,1,7801.92,264732,313430,556160,4,3,15,4
MaxCHuim,BMS-POS,0.05,4718566,94371330,2,7987.67,276424,318196,563496,4,3,15,4
MaxCHuim,BMS-POS,0.05,4718566,94371330,3,7783.96,260376,316746,564532,4,3,15,4
MaxCHuimBitmax,BMS-POS,0.05,4718566,94371330,1,7865.19,304344,318407,559152,4,3,15,4
MaxCHuimBitmax,BMS-POS,0.05,4718566,94371330,2,7968.19,261608,317678,554404,4,3,15,4
MaxCHuimBitmax,BMS-POS,0.05,4718566,94371330,3,8013.42,273552,314611,560440,4,3,15,4
MaxCHuim,BMS-POS,0.03,2831139,94371330,1,40977.79,557984,536777,814668,16,9,37,16
MaxCHuim,BMS-POS,0.03,2831139,94371330,2,42294.07,514536,537855,815476,16,9,37,16
MaxCHuim,BMS-POS,0.03,2831139,94371330,3,38990.02,523540,506112,814348,16,9,37,16
MaxCHuimBitmax,BMS-POS,0.03,2831139,94371330,1,41958.82,550104,515895,817904,16,9,37,16
MaxCHuimBitmax,BMS-POS,0.03,2831139,94371330,2,40909.89,493104,535497,809396,16,9,37,16
MaxCHuimBitmax,BMS-POS,0.03,2831139,94371330,3,42041.01,531832,540935,814732,16,9,37,16
MaxCHuim,BMS-POS,0.01,943713,94371330,1,158487.41,1063928,849240,1375676,236,82,425,236
MaxCHuim,BMS-POS,0.01,943713,94371330,2,161460.59,1164288,875898,1419068,236,82,425,236
MaxCHuim,BMS-POS,0.01,943713,94371330,3,165417.47,1190684,988113,1445848,236,82,425,236
MaxCHuimBitmax,BMS-POS,0.01,943713,94371330,1,165673.68,1184576,973584,1440272,236,82,425,236
MaxCHuim,accidents,0.15,50574620,337164136,1,349017.53,2000952,1848313,2528584,3,2,260,3
MaxCHuim,accidents,0.15,50574620,337164136,2,350261.06,1789100,1627300,2353876,3,2,260,3
MaxCHuim,accidents,0.15,50574620,337164136,3,355692.02,1991452,1845869,2519124,3,2,260,3
MaxCHuimBitmax,accidents,0.15,50574620,337164136,1,350985.23,1804600,1626985,2367764,3,2,260,3
MaxCHuimBitmax,accidents,0.15,50574620,337164136,2,351154.62,2029800,1851249,2604832,3,2,260,3
MaxCHuimBitmax,accidents,0.15,50574620,337164136,3,351124.96,1745576,1628072,2308544,3,2,260,3
MaxCHuim,accidents,0.14,47202979,337164136,1,514258.12,2125172,1879004,2688720,23,5,501,23
MaxCHuim,accidents,0.14,47202979,337164136,2,513459.62,2137960,1876820,2701224,23,5,501,23
MaxCHuim,accidents,0.14,47202979,337164136,3,515637.05,2463616,1896280,3018608,23,5,501,23
MaxCHuimBitmax,accidents,0.14,47202979,337164136,1,519883.60,2140132,1880511,2703292,23,5,501,23
MaxCHuimBitmax,accidents,0.14,47202979,337164136,2,524812.90,2266068,1615513,2839208,23,5,501,23
MaxCHuimBitmax,accidents,0.14,47202979,337164136,3,519121.68,2145948,1877687,2708724,23,5,501,23
MaxCHuim,accidents,0.13,43831337,337164136,1,716386.49,2362996,2115733,2861496,118,13,1033,118
MaxCHuim,accidents,0.13,43831337,337164136,2,729149.89,2465072,1998637,2995848,118,13,1033,118
MaxCHuim,accidents,0.13,43831337,337164136,3,757901.30,2090420,1754981,2653568,118,13,1033,118
MaxCHuimBitmax,accidents,0.13,43831337,337164136,1,721063.86,2437300,1886800,2972716,118,13,1033,118
MaxCHuimBitmax,accidents,0.13,43831337,337164136,2,718398.62,2243132,2124747,2810384,118,13,1033,118
