algorithm,dataset,threshold,mu,total_twu,attempt,runtime_ms,memory_kb,managed_memory_kb,total_rss_kb,closed_hui_count,max_hui_count,candidates_count,max_hui_checks
MaxCHuimBitmax,BMS-POS,0.05,25745064,514901286,3,7729.03,280648,325190,562152,4,3,15,4
MaxCHuim,BMS-POS,0.03,15447038,514901286,1,37179.15,561904,492884,834556,15,8,37,15
MaxCHuim,BMS-POS,0.03,15447038,514901286,2,36719.77,530192,531145,816404,15,8,37,15
MaxCHuim,BMS-POS,0.03,15447038,514901286,3,36220.38,554984,508984,812684,15,8,37,15
MaxCHuimBitmax,BMS-POS,0.03,15447038,514901286,1,37989.44,530768,514772,815064,15,8,37,15
MaxCHuimBitmax,BMS-POS,0.03,15447038,514901286,2,43293.09,522524,538520,810732,15,8,37,15
MaxCHuimBitmax,BMS-POS,0.03,15447038,514901286,3,41563.80,567684,536759,815868,15,8,37,15
MaxCHuim,BMS-POS,0.01,5149012,514901286,1,152166.75,1246796,905866,1524900,237,82,427,237
MaxCHuim,BMS-POS,0.01,5149012,514901286,2,153202.60,1305148,799932,1574300,237,82,427,237
MaxCHuim,BMS-POS,0.01,5149012,514901286,3,160379.62,1093316,834638,1385680,237,82,427,237
MaxCHuimBitmax,BMS-POS,0.01,5149012,514901286,1,156840.22,1095436,906115,1396420,237,82,427,237
MaxCHuimBitmax,BMS-POS,0.01,5149012,514901286,2,157108.86,1104076,844124,1401344,237,82,427,237
MaxCHuimBitmax,BMS-POS,0.01,5149012,514901286,3,188728.47,1160676,978754,1457656,237,82,427,237
MaxCHuim,mushroom,0.007,206571,29510229,1,6014.13,52664,41169,113724,96747,6689,118585,96747
MaxCHuim,mushroom,0.007,206571,29510229,2,5452.03,53820,41496,114484,96747,6689,118585,96747
MaxCHuim,mushroom,0.007,206571,29510229,3,6071.17,55268,40713,116176,96747,6689,118585,96747
MaxCHuimBitmax,mushroom,0.007,206571,29510229,1,3527.98,101276,99280,161760,247241,3147,182014,247241
MaxCHuimBitmax,mushroom,0.007,206571,29510229,2,3460.25,105328,91129,166212,247241,3147,182014,247241
MaxCHuimBitmax,mushroom,0.007,206571,29510229,3,3586.46,96276,103031,157924,247241,3147,182014,247241
MaxCHuim,mushroom,0.005,147551,29510229,1,13118.81,67860,64378,126684,149989,11422,164225,149989
MaxCHuim,mushroom,0.005,147551,29510229,2,13320.38,64188,60363,124936,149989,11422,164225,149989
MaxCHuim,mushroom,0.005,147551,29510229,3,13853.66,70724,69638,129856,149989,11422,164225,149989
MaxCHuimBitmax,mushroom,0.005,147551,29510229,1,4537.82,139116,134271,199696,366003,4989,255193,366003
MaxCHuimBitmax,mushroom,0.005,147551,29510229,2,4572.16,137736,91860,198200,366003,4989,255193,366003
MaxCHuimBitmax,mushroom,0.005,147551,29510229,3,4589.25,140040,124317,200452,366003,4989,255193,366003
MaxCHuim,mushroom,0.003,88530,29510229,1,41795.96,82740,71923,152712,262216,20057,255784,262216
MaxCHuim,mushroom,0.003,88530,29510229,2,40801.57,94328,88348,154836,262216,20057,255784,262216
MaxCHuim,mushroom,0.003,88530,29510229,3,42411.80,91800,97441,152588,262216,20057,255784,262216
MaxCHuimBitmax,mushroom,0.003,88530,29510229,1,6512.12,206700,179396,267060,614830,10094,402182,614830
MaxCHuimBitmax,mushroom,0.003,88530,29510229,2,6514.91,196348,168470,257128,614830,10094,402182,614830
MaxCHuimBitmax,mushroom,0.003,88530,29510229,3,6614.11,190160,154231,250600,614830,10094,402182,614830
MaxCHuim,mushroom,0.001,29510,29510229,1,323416.52,173796,172587,234532,654206,45793,510307,654206
MaxCHuim,mushroom,0.001,29510,29510229,2,323365.39,179144,150787,239824,654206,45793,510307,654206
MaxCHuim,mushroom,0.001,29510,29510229,3,323508.81,184500,159920,245152,654206,45793,510307,654206
MaxCHuimBitmax,mushroom,0.001,29510,29510229,1,14565.46,326436,309294,386976,1418086,22610,832195,1418086
MaxCHuimBitmax,mushroom,0.001,29510,29510229,2,14504.45,329832,301226,390516,1418086,22610,832195,1418086
MaxCHuimBitmax,mushroom,0.001,29510,29510229,3,14499.17,316864,297921,377404,1418086,22610,832195,1418086
MaxCHuim,retail,0.00019,48522,255382456,1,32581.59,320608,310139,422104,10185,2646,14112,10185
MaxCHuim,retail,0.00019,48522,255382456,2,32510.16,343464,316564,438464,10185,2646,14112,10185
MaxCHuim,retail,0.00019,48522,255382456,3,31706.63,325336,308261,426608,10185,2646,14112,10185
MaxCHuimBitmax,retail,0.00019,48522,255382456,1,34829.88,353228,376257,480928,10186,2644,14112,10186
MaxCHuimBitmax,retail,0.00019,48522,255382456,2,35522.65,383876,398355,485392,10186,2644,14112,10186
MaxCHuimBitmax,retail,0.00019,48522,255382456,3,36004.19,383568,396675,492220,10186,2644,14112,10186
MaxCHuim,retail,0.00017,43415,255382456,1,34100.83,331780,309576,432720,12129,3163,17389,12129
MaxCHuim,retail,0.00017,43415,255382456,2,39707.27,325740,315272,426684,12129,3163,17389,12129
MaxCHuim,retail,0.00017,43415,255382456,3,34363.43,313784,307936,420432,12129,3163,17389,12129
MaxCHuimBitmax,retail,0.00017,43415,255382456,1,38510.94,411948,385826,506760,12133,3162,17389,12133
MaxCHuimBitmax,retail,0.00017,43415,255382456,2,38266.20,431128,342795,532268,12133,3162,17389,12133
MaxCHuimBitmax,retail,0.00017,43415,255382456,3,37854.99,458540,344692,553268,12133,3162,17389,12133
MaxCHuim,retail,0.00015,38307,255382456,1,35434.59,286552,310069,413520,14736,3776,22205,14736
MaxCHuim,retail,0.00015,38307,255382456,2,35804.16,323680,313002,425348,14736,3776,22205,14736
MaxCHuim,retail,0.00015,38307,255382456,3,36483.71,317092,313838,418784,14736,3776,22205,14736
MaxCHuimBitmax,retail,0.00015,38307,255382456,1,42148.16,424376,441755,553188,14742,3775,22205,14742
MaxCHuimBitmax,retail,0.00015,38307,255382456,2,41826.97,443760,418951,538396,14742,3775,22205,14742
MaxCHuimBitmax,retail,0.00015,38307,255382456,3,40800.48,458700,468684,559880,14742,3775,22205,14742
MaxCHuim,retail,0.00013,33199,255382456,1,38431.31,336024,324583,437292,18468,4739,30160,18468
MaxCHuim,retail,0.00013,33199,255382456,2,38908.90,339560,318004,434780,18468,4739,30160,18468
MaxCHuim,retail,0.00013,33199,255382456,3,39537.70,324100,316396,426072,18468,4739,30160,18468
MaxCHuimBitmax,retail,0.00013,33199,255382456,1,47082.61,408460,379833,535692,18488,4718,30160,18488
MaxCHuimBitmax,retail,0.00013,33199,255382456,2,47352.37,439324,411359,557960,18488,4718,30160,18488
MaxCHuimBitmax,retail,0.00013,33199,255382456,3,46996.60,453132,394959,554016,18488,4718,30160,18488
MaxCHuim,retail,0.0001,25538,255382456,1,44321.98,310120,319235,418988,27996,7076,57097,27996
MaxCHuim,retail,0.0001,25538,255382456,2,44985.32,338840,322842,433576,27996,7076,57097,27996
MaxCHuim,retail,0.0001,25538,255382456,3,44169.28,317592,324169,412136,27996,7076,57097,27996
MaxCHuimBitmax,retail,0.0001,25538,255382456,1,66767.98,385108,413924,512276,28108,6987,57090,28108
MaxCHuimBitmax,retail,0.0001,25538,255382456,2,65295.13,413376,392659,514620,28108,6987,57090,28108
MaxCHuimBitmax,retail,0.0001,25538,255382456,3,59810.68,386112,395149,515576,28108,6987,57090,28108
MaxCHuim,accidents,0.15,50574620,337164136,1,349017.53,2000952,1848313,2528584,3,2,260,3
MaxCHuim,accidents,0.15,50574620,337164136,2,350261.06,1789100,1627300,2353876,3,2,260,3
MaxCHuim,accidents,0.15,50574620,337164136,3,355692.02,1991452,1845869,2519124,3,2,260,3
MaxCHuimBitmax,accidents,0.15,50574620,337164136,1,350985.23,1804600,1626985,2367764,3,2,260,3
MaxCHuimBitmax,accidents,0.15,50574620,337164136,2,351154.62,2029800,1851249,2604832,3,2,260,3
MaxCHuimBitmax,accidents,0.15,50574620,337164136,3,351124.96,1745576,1628072,2308544,3,2,260,3
MaxCHuim,accidents,0.14,47202979,337164136,1,514258.12,2125172,1879004,2688720,23,5,501,23
MaxCHuim,accidents,0.14,47202979,337164136,2,513459.62,2137960,1876820,2701224,23,5,501,23
MaxCHuim,accidents,0.14,47202979,337164136,3,515637.05,2463616,1896280,3018608,23,5,501,23
MaxCHuimBitmax,accidents,0.14,47202979,337164136,1,519883.60,2140132,1880511,2703292,23,5,501,23
MaxCHuimBitmax,accidents,0.14,47202979,337164136,2,524812.90,2266068,1615513,2839208,23,5,501,23
MaxCHuimBitmax,accidents,0.14,47202979,337164136,3,519121.68,2145948,1877687,2708724,23,5,501,23
MaxCHuim,accidents,0.13,43831337,337164136,1,716386.49,2362996,2115733,2861496,118,13,1033,118
MaxCHuim,accidents,0.13,43831337,337164136,2,729149.89,2465072,1998637,2995848,118,13,1033,118
MaxCHuim,accidents,0.13,43831337,337164136,3,757901.30,2090420,1754981,2653568,118,13,1033,118
MaxCHuimBitmax,accidents,0.13,43831337,337164136,1,721063.86,2437300,1886800,2972716,118,13,1033,118
MaxCHuimBitmax,accidents,0.13,43831337,337164136,2,718398.62,2243132,2124747,2810384,118,13,1033,118
MaxCHuimBitmax,accidents,0.13,43831337,337164136,3,723814.31,2212548,2120824,2775588,118,13,1033,118
MaxCHuim,chess,0.09,309376,3437520,1,613836.54,2066672,1872991,2121576,9461936,7157,16892914,9461936
MaxCHuim,chess,0.09,309376,3437520,2,607602.00,2053168,1911081,2108392,9461936,7157,16892914,9461936
MaxCHuim,chess,0.09,309376,3437520,3,620621.80,2043768,1873538,2098632,9461936,7157,16892914,9461936
MaxCHuimBitmax,chess,0.09,309376,3437520,1,507727.92,2061636,1897236,2116032,9461936,7157,16892914,9461936
MaxCHuimBitmax,chess,0.09,309376,3437520,2,501615.65,1996888,1871951,2051356,9461936,7157,16892914,9461936
MaxCHuimBitmax,chess,0.09,309376,3437520,3,501724.14,2009804,1896193,2064380,9461936,7157,16892914,9461936
MaxCHuim,chess,0.07,240626,3437520,1,3245795.24,6079084,5675348,6134192,30508501,22114,45951659,30508501
MaxCHuim,chess,0.07,240626,3437520,2,3193950.39,6066424,5691388,6121300,30508501,22114,45951659,30508501
MaxCHuim,chess,0.07,240626,3437520,3,3202792.71,6072344,5730405,6126984,30508501,22114,45951659,30508501
MaxCHuimBitmax,chess,0.07,240626,3437520,1,1381038.45,6209936,5628964,6264144,30508501,22114,45951659,30508501
MaxCHuimBitmax,chess,0.07,240626,3437520,2,1392837.75,6124008,5638484,6178468,30508501,22114,45951659,30508501
MaxCHuimBitmax,chess,0.07,240626,3437520,3,1392084.07,6010688,5685806,6065284,30508501,22114,45951659,30508501
MaxCHuim,accidents,0.12,40459696,337164136,1,722183.69,2786964,2021148,3319984,441,31,2173,441
MaxCHuim,accidents,0.12,40459696,337164136,2,745327.88,2806512,1876421,3332188,441,31,2173,441
MaxCHuim,accidents,0.12,40459696,337164136,3,730788.14,2524796,2087159,3030316,441,31,2173,441
MaxCHuimBitmax,accidents,0.12,40459696,337164136,1,781447.19,2429200,2102529,2999340,441,31,2173,441
MaxCHuimBitmax,accidents,0.12,40459696,337164136,2,734972.27,2437748,1598731,2978252,441,31,2173,441
MaxCHuimBitmax,accidents,0.12,40459696,337164136,3,742585.00,2406860,2117841,2980312,441,31,2173,441
MaxCHuim,kddcup99,0.5,262901246,525802492,1,3743.33,768748,650347,1314484,0,0,4,0
MaxCHuim,kddcup99,0.5,262901246,525802492,2,3699.37,645216,647235,1262160,0,0,4,0
MaxCHuim,kddcup99,0.5,262901246,525802492,3,3606.93,638348,649524,1222648,0,0,4,0
MaxCHuimBitmax,kddcup99,0.5,262901246,525802492,1,3671.28,634392,649752,1250312,0,0,4,0
MaxCHuimBitmax,kddcup99,0.5,262901246,525802492,2,3945.83,753736,663680,1341532,0,0,4,0
MaxCHuimBitmax,kddcup99,0.5,262901246,525802492,3,3798.14,732156,648666,1278524,0,0,4,0
MaxCHuim,kddcup99,0.4,210320996,525802492,1,4135.35,686676,816016,1310760,0,0,8,0
MaxCHuim,kddcup99,0.4,210320996,525802492,2,4161.03,667448,682154,1297648,0,0,8,0
MaxCHuim,kddcup99,0.4,210320996,525802492,3,4348.22,818804,728028,1382092,0,0,8,0
MaxCHuimBitmax,kddcup99,0.4,210320996,525802492,1,4113.77,722800,713438,1310192,0,0,8,0
MaxCHuimBitmax,kddcup99,0.4,210320996,525802492,2,4467.08,786504,680860,1334260,0,0,8,0
MaxCHuimBitmax,kddcup99,0.4,210320996,525802492,3,4168.96,840684,816242,1401992,0,0,8,0
MaxCHuim,kddcup99,0.3,157740747,525802492,1,4500.56,697912,796423,1311740,0,0,17,0
MaxCHuim,kddcup99,0.3,157740747,525802492,2,4536.19,726480,817035,1317808,0,0,17,0
MaxCHuim,kddcup99,0.3,157740747,525802492,3,4462.39,827156,732572,1418744,0,0,17,0
MaxCHuimBitmax,kddcup99,0.3,157740747,525802492,1,4529.32,740492,798781,1341932,0,0,17,0
MaxCHuimBitmax,kddcup99,0.3,157740747,525802492,2,4441.43,679704,727172,1287580,0,0,17,0
MaxCHuimBitmax,kddcup99,0.3,157740747,525802492,3,4447.83,758156,682376,1333928,0,0,17,0
MaxCHuim,kddcup99,0.2,105160498,525802492,1,18225.34,959548,824810,1527616,655,3,1112,655
MaxCHuim,kddcup99,0.2,105160498,525802492,2,18780.46,864428,811241,1455060,655,3,1112,655
MaxCHuim,kddcup99,0.2,105160498,525802492,3,18036.37,925920,808913,1502812,655,3,1112,655
MaxCHuimBitmax,kddcup99,0.2,105160498,525802492,1,18233.37,779104,811259,1410652,655,3,1112,655
MaxCHuimBitmax,kddcup99,0.2,105160498,525802492,2,18154.71,863936,812392,1405124,655,3,1112,655
MaxCHuimBitmax,kddcup99,0.2,105160498,525802492,3,18120.00,940156,813213,1522324,655,3,1112,655
MaxCHuim,kddcup99,0.1,52580249,525802492,1,46336.29,971500,891759,1534476,6122,6,4837,6122
MaxCHuim,kddcup99,0.1,52580249,525802492,2,47834.23,980720,902476,1572860,6122,6,4837,6122
MaxCHuim,kddcup99,0.1,52580249,525802492,3,46331.11,971776,893099,1534184,6122,6,4837,6122
MaxCHuimBitmax,kddcup99,0.1,52580249,525802492,1,45187.89,826280,897343,1454300,6122,6,4837,6122
MaxCHuimBitmax,kddcup99,0.1,52580249,525802492,2,45498.04,944148,892032,1509536,6122,6,4837,6122
MaxCHuimBitmax,kddcup99,0.1,52580249,525802492,3,47485.28,939912,942570,1549772,6122,6,4837,6122
MaxCHuim,PAMP,0.4,254201011,635502529,1,6929.57,1014604,1148143,1947872,0,0,8,0
MaxCHuim,PAMP,0.4,254201011,635502529,2,6848.59,1200556,1017020,2123992,0,0,8,0
MaxCHuim,PAMP,0.4,254201011,635502529,3,6887.52,1138644,1018683,2096476,0,0,8,0
MaxCHuimBitmax,PAMP,0.4,254201011,635502529,1,6814.35,1167064,1017205,2098956,0,0,8,0
MaxCHuimBitmax,PAMP,0.4,254201011,635502529,2,7067.20,1006012,1106089,1928500,0,0,8,0
MaxCHuimBitmax,PAMP,0.4,254201011,635502529,3,7051.86,1147212,1050898,2057092,0,0,8,0
MaxCHuim,PAMP,0.35,222425885,635502529,1,7788.97,1281688,1083831,2196388,0,0,20,0
MaxCHuim,PAMP,0.35,222425885,635502529,2,7815.70,1133160,1157647,2047552,0,0,20,0
MaxCHuim,PAMP,0.35,222425885,635502529,3,7869.27,1163332,1131209,2090832,0,0,20,0
MaxCHuimBitmax,PAMP,0.35,222425885,635502529,1,8021.13,1262092,1158769,2148892,0,0,20,0
MaxCHuimBitmax,PAMP,0.35,222425885,635502529,2,7898.15,1137584,1218307,2054060,0,0,20,0
MaxCHuimBitmax,PAMP,0.35,222425885,635502529,3,7763.24,1164052,1185929,2086904,0,0,20,0
MaxCHuim,PAMP,0.3,190650758,635502529,1,12505.41,1197756,1304989,2098132,5,1,154,5
MaxCHuim,PAMP,0.3,190650758,635502529,2,12725.72,1243856,1217281,2148644,5,1,154,5
MaxCHuim,PAMP,0.3,190650758,635502529,3,12684.48,1378420,1313569,2256576,5,1,154,5
MaxCHuimBitmax,PAMP,0.3,190650758,635502529,1,12932.73,1203452,1199467,2105116,5,1,154,5
MaxCHuimBitmax,PAMP,0.3,190650758,635502529,2,12655.82,1258316,1264489,2133196,5,1,154,5
MaxCHuimBitmax,PAMP,0.3,190650758,635502529,3,12911.77,1246516,1219529,2152092,5,1,154,5
MaxCHuim,PAMP,0.25,158875632,635502529,1,27235.85,1411860,1236711,2310588,238,2,913,238
MaxCHuim,PAMP,0.25,158875632,635502529,2,28863.25,1207160,1276770,2127972,238,2,913,238
MaxCHuim,PAMP,0.25,158875632,635502529,3,27320.02,1320280,1344071,2206592,238,2,913,238
MaxCHuimBitmax,PAMP,0.25,158875632,635502529,1,27607.59,1315352,1311827,2236584,238,2,913,238
MaxCHuimBitmax,PAMP,0.25,158875632,635502529,2,27392.52,1241580,1255021,2156476,238,2,913,238
MaxCHuimBitmax,PAMP,0.25,158875632,635502529,3,28858.11,1231624,1267550,2163816,238,2,913,238
MaxCHuim,PAMP,0.2,127100505,635502529,1,102344.81,1605680,1559739,2483640,2511,7,4958,2511
MaxCHuim,PAMP,0.2,127100505,635502529,2,102562.00,1331892,1470934,2263716,2511,7,4958,2511
MaxCHuim,PAMP,0.2,127100505,635502529,3,98052.35,1582692,1239776,2480196,2511,7,4958,2511
MaxCHuimBitmax,PAMP,0.2,127100505,635502529,1,98453.66,1611344,1558865,2489072,2511,7,4958,2511
MaxCHuimBitmax,PAMP,0.2,127100505,635502529,2,98319.08,1305188,1460218,2236856,2511,7,4958,2511
MaxCHuimBitmax,PAMP,0.2,127100505,635502529,3,97314.29,1561544,1567922,2465596,2511,7,4958,2511
MaxCHuim,kddcup99,0.09,47322224,525802492,1,46770.65,1074168,917729,1636152,6964,6,5196,6964
MaxCHuim,kddcup99,0.09,47322224,525802492,2,46448.23,995184,895414,1536964,6964,6,5196,6964
MaxCHuim,kddcup99,0.09,47322224,525802492,3,46825.48,941788,939796,1527212,6964,6,5196,6964
MaxCHuimBitmax,kddcup99,0.09,47322224,525802492,1,46343.84,949780,999919,1539552,6964,6,5196,6964
MaxCHuimBitmax,kddcup99,0.09,47322224,525802492,2,46387.72,962604,913677,1552980,6964,6,5196,6964
MaxCHuimBitmax,kddcup99,0.09,47322224,525802492,3,47477.41,1131152,931808,1716092,6964,6,5196,6964
MaxCHuim,kddcup99,0.07,36806174,525802492,1,71381.14,917792,889772,1526148,13746,25,9648,13746
MaxCHuim,kddcup99,0.07,36806174,525802492,2,72853.57,1048084,936086,1589100,13746,25,9648,13746
MaxCHuim,kddcup99,0.07,36806174,525802492,3,71923.47,877452,934551,1477960,13746,25,9648,13746
MaxCHuimBitmax,kddcup99,0.07,36806174,525802492,1,72624.02,957756,889404,1538940,13746,25,9648,13746
MaxCHuimBitmax,kddcup99,0.07,36806174,525802492,2,73924.98,970464,964684,1581608,13746,25,9648,13746
MaxCHuimBitmax,kddcup99,0.07,36806174,525802492,3,72141.01,967144,889317,1537208,13746,25,9648,13746
MaxCHuim,kddcup99,0.05,26290124,525802492,1,75176.81,1080968,984612,1663796,16122,30,10855,16122
MaxCHuim,kddcup99,0.05,26290124,525802492,2,74695.99,981632,971601,1567284,16122,30,10855,16122
MaxCHuim,kddcup99,0.05,26290124,525802492,3,76073.07,1025504,945789,1595372,16122,30,10855,16122
MaxCHuimBitmax,kddcup99,0.05,26290124,525802492,1,75493.84,1071872,944817,1616532,16122,30,10855,16122
MaxCHuimBitmax,kddcup99,0.05,26290124,525802492,2,76082.86,1217996,952104,1771308,16122,30,10855,16122
MaxCHuimBitmax,kddcup99,0.05,26290124,525802492,3,74787.11,1060724,987424,1672300,16122,30,10855,16122
MaxCHuim,kddcup99,0.03,15774074,525802492,1,80010.44,1040380,964735,1586720,17639,33,11424,17639
MaxCHuim,kddcup99,0.03,15774074,525802492,2,77098.12,1026496,963077,1568204,17639,33,11424,17639
MaxCHuim,kddcup99,0.03,15774074,525802492,3,76722.25,1038848,965817,1604208,17639,33,11424,17639
MaxCHuimBitmax,kddcup99,0.03,15774074,525802492,1,76512.65,950740,916091,1567288,17639,33,11424,17639
MaxCHuimBitmax,kddcup99,0.03,15774074,525802492,2,77063.25,1016424,1042418,1624108,17639,33,11424,17639
MaxCHuimBitmax,kddcup99,0.03,15774074,525802492,3,79382.64,1054664,1071972,1602252,17639,33,11424,17639
MaxCHuim,PAMP,0.1,63550252,635502529,1,1696836.91,1414344,1398021,2322624,185805,67,208876,185805
MaxCHuim,PAMP,0.1,63550252,635502529,2,1713068.55,1429316,1789974,2367200,185805,67,208876,185805
MaxCHuim,PAMP,0.1,63550252,635502529,3,1726742.66,1409388,1399728,2339872,185805,67,208876,185805
MaxCHuimBitmax,PAMP,0.1,63550252,635502529,1,1669479.18,1635300,1587288,2510268,185805,67,208876,185805
MaxCHuimBitmax,PAMP,0.1,63550252,635502529,2,1714237.42,1421712,1385359,2327508,185805,67,208876,185805
MaxCHuimBitmax,PAMP,0.1,63550252,635502529,3,1767677.82,1524616,1357193,2458480,185805,67,208876,185805
MaxCHuim,PAMP,0.09,57195227,635502529,1,1934946.16,1602372,1763721,2479296,275937,106,279625,275937
MaxCHuim,PAMP,0.09,57195227,635502529,2,2024796.81,1484756,1614148,2431556,275937,106,279625,275937
MaxCHuim,PAMP,0.09,57195227,635502529,3,2091919.53,1468188,1805950,2398324,275937,106,279625,275937
MaxCHuimBitmax,PAMP,0.09,57195227,635502529,1,2052891.92,1578900,1871176,2482248,275937,106,279625,275937
MaxCHuimBitmax,PAMP,0.09,57195227,635502529,2,2142674.50,1659844,1711652,2619520,275937,106,279625,275937
MaxCHuimBitmax,PAMP,0.09,57195227,635502529,3,2148228.94,1711092,1744091,2643436,275937,106,279625,275937
MaxCHuim,PAMP,0.07,44485177,635502529,1,4130095.64,1757864,1673561,2689948,756159,290,753717,756159
MaxCHuim,PAMP,0.07,44485177,635502529,2,4219620.92,1888928,1550095,2816268,756159,290,753717,756159
MaxCHuim,PAMP,0.07,44485177,635502529,3,4147727.15,1944492,1662249,2833668,756159,290,753717,756159
MaxCHuimBitmax,PAMP,0.07,44485177,635502529,1,4165517.36,1918288,1705133,2826200,756159,290,753717,756159
MaxCHuimBitmax,PAMP,0.07,44485177,635502529,2,4149503.67,1760704,1691024,2714300,756159,290,753717,756159
MaxCHuimBitmax,PAMP,0.07,44485177,635502529,3,4241878.63,1835124,1663069,2763636,756159,290,753717,756159
MaxCHuim,PAMP,0.05,31775126,635502529,1,6966654.09,2588752,2653017,3518904,2105343,689,1871497,2105343
MaxCHuim,PAMP,0.05,31775126,635502529,2,6723144.43,2459024,2551841,3344704,2105343,689,1871497,2105343
MaxCHuim,PAMP,0.05,31775126,635502529,3,6909279.03,2488596,2593301,3418656,2105343,689,1871497,2105343
MaxCHuimBitmax,PAMP,0.05,31775126,635502529,1,6934216.99,2587000,2542450,3513800,2105343,689,1871497,2105343
MaxCHuimBitmax,PAMP,0.05,31775126,635502529,2,6661845.05,2460608,2555847,3386724,2105343,689,1871497,2105343
