algorithm,dataset,threshold,mu,total_twu,runtime_ms,memory_kb,managed_memory_kb,total_rss_kb,closed_hui_count,max_hui_count,candidates_count,max_hui_checks
MaxCHuim,BMS-POS,0.1,51490128,514901286,1599.0900000000001,182057.33333333334,191441.66666666666,469138.6666666667,1.0,1.0,4.0,1.0
MaxCHuim,BMS-POS,0.15,77235192,514901286,1469.22,197340.0,124375.33333333333,471662.6666666667,1.0,1.0,1.0,1.0
MaxCHuim,BMS-POS,0.2,102980257,514901286,1306.0766666666668,211489.33333333334,93517.66666666667,469770.6666666667,0.0,0.0,1.0,0.0
MaxCHuim,BMS-POS,0.25,128725321,514901286,1236.3133333333333,193778.66666666666,136998.0,460049.3333333333,0.0,0.0,1.0,0.0
MaxCHuim,BMS-POS,0.3,154470385,514901286,1161.9433333333334,184156.0,132901.0,462302.6666666667,0.0,0.0,1.0,0.0
MaxCHuim,BMS-POS,0.35,180215450,514901286,1054.5233333333333,169081.33333333334,127272.66666666667,454621.3333333333,0.0,0.0,1.0,0.0
MaxCHuim,accidents,0.1,275931911,2759319112,1009158.4266666668,2510138.6666666665,1839971.3333333333,3060358.6666666665,4895.0,151.0,11841.0,4895.0
MaxCHuim,accidents,0.15,413897866,2759319112,354451.3666666667,1949334.6666666667,1849502.6666666667,2486705.3333333335,3.0,2.0,261.0,3.0
MaxCHuim,accidents,0.2,551863822,2759319112,79049.70666666667,1129509.3333333333,1157582.6666666667,1691152.0,0.0,0.0,33.0,0.0
MaxCHuim,accidents,0.25,689829778,2759319112,15672.050000000001,783953.3333333334,848434.6666666666,1337084.0,0.0,0.0,17.0,0.0
MaxCHuim,accidents,0.3,827795733,2759319112,5783.553333333333,609764.0,685956.0,1160365.3333333333,0.0,0.0,13.0,0.0
MaxCHuim,accidents,0.35,965761689,2759319112,4527.84,596388.0,640694.3333333334,1148990.6666666667,0.0,0.0,11.0,0.0
MaxCHuim,pumsb_star,0.01,2014458,201445816,52613569.85,10954236.0,10777204.0,11119164.0,33011076.0,87556.0,18941794.0,33011076.0
MaxCHuim,pumsb_star,0.03,6043374,201445816,344915.5633333333,830884.0,682347.6666666666,976102.6666666666,599481.0,2900.0,482924.0,599481.0
MaxCHuim,pumsb_star,0.05,10072290,201445816,78975.50666666667,670024.0,445691.3333333333,825377.3333333334,28106.0,375.0,44073.0,28106.0
MaxCHuim,pumsb_star,0.07,14101207,201445816,34353.04,755873.3333333334,524509.3333333334,911268.0,1734.0,27.0,6790.0,1734.0
MaxCHuimBitmax,BMS-POS,0.1,51490128,514901286,1575.0333333333335,179345.33333333334,191478.0,466953.3333333333,1.0,1.0,4.0,1.0
MaxCHuimBitmax,BMS-POS,0.15,77235192,514901286,1456.3133333333333,196314.66666666666,127231.0,474053.3333333333,1.0,1.0,1.0,1.0
MaxCHuimBitmax,BMS-POS,0.2,102980257,514901286,1311.2133333333334,185708.0,95167.66666666667,475948.0,0.0,0.0,1.0,0.0
MaxCHuimBitmax,BMS-POS,0.25,128725321,514901286,1229.1833333333334,184904.0,137018.0,471170.6666666667,0.0,0.0,1.0,0.0
MaxCHuimBitmax,BMS-POS,0.3,154470385,514901286,1136.1899999999998,203016.0,132986.66666666666,452985.3333333333,0.0,0.0,1.0,0.0
MaxCHuimBitmax,BMS-POS,0.35,180215450,514901286,1050.8333333333333,175884.0,127153.66666666667,443361.3333333333,0.0,0.0,1.0,0.0
MaxCHuimBitmax,accidents,0.1,275931911,2759319112,996464.77,2481428.0,1833278.6666666667,3035578.6666666665,4895.0,151.0,11841.0,4895.0
MaxCHuimBitmax,accidents,0.15,413897866,2759319112,360327.73333333334,1955770.6666666667,1780333.3333333333,2498148.0,3.0,2.0,261.0,3.0
MaxCHuimBitmax,accidents,0.2,551863822,2759319112,77262.21333333333,1079497.3333333333,1125489.0,1630884.0,0.0,0.0,33.0,0.0
MaxCHuimBitmax,accidents,0.25,689829778,2759319112,15827.556666666665,802617.3333333334,878057.6666666666,1354789.3333333333,0.0,0.0,17.0,0.0
MaxCHuimBitmax,accidents,0.3,827795733,2759319112,5743.863333333334,583033.3333333334,677277.6666666666,1135673.3333333333,0.0,0.0,13.0,0.0
MaxCHuimBitmax,accidents,0.35,965761689,2759319112,4560.573333333333,558158.6666666666,648270.6666666666,1115928.0,0.0,0.0,11.0,0.0
MaxCHuimBitmax,pumsb_star,0.03,6043374,201445816,334433.56,759524.0,536994.6666666666,908702.6666666666,599481.0,2900.0,482924.0,599481.0
MaxCHuimBitmax,pumsb_star,0.05,10072290,201445816,78752.78333333334,661744.0,421848.3333333333,808672.0,28106.0,375.0,44073.0,28106.0
MaxCHuimBitmax,pumsb_star,0.07,14101207,201445816,34612.84333333333,759484.0,532264.0,915208.0,1734.0,27.0,6790.0,1734.0
