algorithm,dataset,threshold,mu,total_twu,runtime_ms,memory_kb,managed_memory_kb,total_rss_kb,closed_hui_count,max_hui_count,candidates_count,max_hui_checks
MaxCHuim,BMS-POS,0.01,5149012,514901286,165748.98666666666,1175508.0,897648.3333333334,1438090.6666666667,237.0,82.0,427.0,237.0
MaxCHuim,BMS-POS,0.03,15447038,514901286,41535.926666666666,555474.6666666666,516740.6666666667,823573.3333333334,15.0,8.0,37.0,15.0
MaxCHuim,BMS-POS,0.05,25745064,514901286,8181.386666666666,278181.3333333333,323200.3333333333,566625.3333333334,4.0,3.0,15.0,4.0
MaxCHuim,BMS-POS,0.07,36043090,514901286,1888.8833333333332,211088.0,247442.33333333334,478474.6666666667,3.0,2.0,8.0,3.0
MaxCHuim,BMS-POS,0.09,46341115,514901286,1651.5033333333333,215977.33333333334,234496.33333333334,479188.0,1.0,1.0,5.0,1.0
MaxCHuim,mushroom,0.001,29510,29510229,258215.28000000003,339218.6666666667,303329.6666666667,400549.3333333333,1418086.0,22610.0,832195.0,1418086.0
MaxCHuim,mushroom,0.003,88530,29510229,42024.48333333333,188556.0,183983.66666666666,249945.33333333334,614830.0,10094.0,402182.0,614830.0
MaxCHuim,mushroom,0.005,147551,29510229,11225.806666666665,142478.66666666666,119424.66666666667,202788.0,366003.0,4989.0,255193.0,366003.0
MaxCHuim,mushroom,0.007,206571,29510229,6819.849999999999,111205.33333333333,107765.0,171444.0,247241.0,3147.0,182014.0,247241.0
MaxCHuim,retail,0.0001,25538,255382456,44919.00666666666,310769.3333333333,326982.6666666667,427706.6666666667,28108.0,6987.0,57090.0,28108.0
MaxCHuim,retail,0.00013,33199,255382456,39282.81333333333,298354.6666666667,318922.0,420802.6666666667,18488.0,4718.0,30160.0,18488.0
MaxCHuim,retail,0.00015,38307,255382456,36493.829999999994,315289.3333333333,315723.0,426180.0,14742.0,3775.0,22205.0,14742.0
MaxCHuim,retail,0.00017,43415,255382456,34276.53,312929.3333333333,314276.6666666667,414065.3333333333,12133.0,3162.0,17389.0,12133.0
MaxCHuim,retail,0.00019,48522,255382456,32489.070000000003,307486.6666666667,307596.0,426092.0,10186.0,2644.0,14112.0,10186.0
MaxCHuimBitmax,BMS-POS,0.01,5149012,514901286,167530.19333333333,1147108.0,914938.6666666666,1428794.6666666667,237.0,82.0,427.0,237.0
MaxCHuimBitmax,BMS-POS,0.03,15447038,514901286,40459.61,529662.6666666666,529493.6666666666,807609.3333333334,15.0,8.0,37.0,15.0
MaxCHuimBitmax,BMS-POS,0.05,25745064,514901286,8042.38,306318.6666666667,319722.0,582930.6666666666,4.0,3.0,15.0,4.0
MaxCHuimBitmax,BMS-POS,0.07,36043090,514901286,1844.9366666666667,220930.66666666666,278891.3333333333,491876.0,3.0,2.0,8.0,3.0
MaxCHuimBitmax,BMS-POS,0.09,46341115,514901286,1626.6666666666667,201188.0,234386.33333333334,474502.6666666667,1.0,1.0,5.0,1.0
MaxCHuimBitmax,mushroom,0.001,29510,29510229,14713.566666666666,322800.0,297141.3333333333,383536.0,1418086.0,22610.0,832195.0,1418086.0
MaxCHuimBitmax,mushroom,0.003,88530,29510229,6634.266666666666,191670.66666666666,154439.66666666666,252221.33333333334,614830.0,10094.0,402182.0,614830.0
MaxCHuimBitmax,mushroom,0.005,147551,29510229,4636.8966666666665,134357.33333333334,119453.0,194913.33333333334,366003.0,4989.0,255193.0,366003.0
MaxCHuimBitmax,mushroom,0.007,206571,29510229,3564.903333333333,110397.33333333333,80795.66666666667,170462.66666666666,247241.0,3147.0,182014.0,247241.0
MaxCHuimBitmax,retail,0.0001,25538,255382456,60311.36000000001,418544.0,399088.3333333333,535341.3333333334,28108.0,6987.0,57090.0,28108.0
MaxCHuimBitmax,retail,0.00013,33199,255382456,46748.80333333334,405977.3333333333,391583.0,533317.3333333334,18488.0,4718.0,30160.0,18488.0
MaxCHuimBitmax,retail,0.00015,38307,255382456,42020.823333333334,417386.6666666667,410497.3333333333,525396.0,14742.0,3775.0,22205.0,14742.0
MaxCHuimBitmax,retail,0.00017,43415,255382456,38336.70333333333,419246.6666666667,430721.0,530200.0,12133.0,3162.0,17389.0,12133.0
MaxCHuimBitmax,retail,0.00019,48522,255382456,35711.38333333333,367317.3333333333,380181.0,490049.3333333333,10186.0,2644.0,14112.0,10186.0
